model_id,asteroid_id,lambda,beta,period,number,name,designation,reference_id,bibcode,a,b,c,R,R2
101,101,35.0,-12.0,7.81323,2.0,Pallas,,106,2003icar..164..346t,0.050144,0.04752,0.044016,0.902027,0.902027292710126
101,101,35.0,-12.0,7.81323,2.0,Pallas,,139,2011icar..214..652d,0.050144,0.04752,0.044016,0.902027,0.902027292710126
106,104,340.0,42.0,7.274471,6.0,Hebe,,106,2003icar..164..346t,0.087539,0.084628,0.07494,0.870793,0.8707990499195989
106,104,340.0,42.0,7.274471,6.0,Hebe,,139,2011icar..214..652d,0.087539,0.084628,0.07494,0.870793,0.8707990499195989
110,106,335.0,-5.0,12.86667,8.0,Flora,,106,2003icar..164..346t,0.098508,0.0935,0.086202,0.898516,0.8985113300062604
110,106,335.0,-5.0,12.86667,8.0,Flora,,139,2011icar..214..652d,0.098508,0.0935,0.086202,0.898516,0.8985113300062604
110,106,335.0,-5.0,12.86667,8.0,Flora,,149,2013icar..226.1045h,0.098508,0.0935,0.086202,0.898516,0.8985113300062604
110,106,335.0,-5.0,12.86667,8.0,Flora,,133,2009mpbu...36..133p,0.098508,0.0935,0.086202,0.898516,0.8985113300062604
111,107,180.0,22.0,5.079176,9.0,Metis,,106,2003icar..164..346t,0.108341,0.087974,0.064028,0.659398,0.6593959056786239
111,107,180.0,22.0,5.079176,9.0,Metis,,139,2011icar..214..652d,0.108341,0.087974,0.064028,0.659398,0.6593959056786239
111,107,180.0,22.0,5.079176,9.0,Metis,,112,2006icar..185...39m,0.108341,0.087974,0.064028,0.659398,0.6593959056786239
111,107,180.0,22.0,5.079176,9.0,Metis,,127,2009mpbu...36...98t,0.108341,0.087974,0.064028,0.659398,0.6593959056786239
117,111,98.0,57.0,7.443224,19.0,Fortuna,,106,2003icar..164..346t,0.087403,0.072742,0.06822,0.859176,0.8591787480461383
117,111,98.0,57.0,7.443224,19.0,Fortuna,,149,2013icar..226.1045h,0.087403,0.072742,0.06822,0.859176,0.8591787480461383
117,111,98.0,57.0,7.443224,19.0,Fortuna,,127,2009mpbu...36...98t,0.087403,0.072742,0.06822,0.859176,0.8591787480461383
120,113,54.0,-7.0,8.168269,21.0,Lutetia,,106,2003icar..164..346t,1.201316,1.000397,0.807261,0.739461,0.7394606029409314
122,115,159.0,-45.0,12.31241,23.0,Thalia,,106,2003icar..164..346t,0.122631,0.111525,0.087306,0.747388,0.7473893144323813
122,115,159.0,-45.0,12.31241,23.0,Thalia,,149,2013icar..226.1045h,0.122631,0.111525,0.087306,0.747388,0.7473893144323813
122,115,159.0,-45.0,12.31241,23.0,Thalia,,135,2010mpbu...37...21p,0.122631,0.111525,0.087306,0.747388,0.7473893144323813
123,115,343.0,-69.0,12.31241,23.0,Thalia,,106,2003icar..164..346t,0.117416,0.106588,0.095046,0.8506,0.8505973546621315
